original_address,lat,lon,formatted,name,housenumber,suburb,street,county,postcode,district,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"2325 CABRILLO ST, SAN FRANCISCO, CA 94121",37.77438842857143,-122.48359036734693,"2325 Cabrillo Street, San Francisco, CA 94121, United States of America",,2325,,Cabrillo Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"42 VULCAN STAIRWAY, SAN FRANCISCO, CA 94114",37.7635643,-122.4412235,"42 Vulcan Stairway, San Francisco, CA 94114, United States of America",,42,,Vulcan Stairway,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3042 MARKET ST, SAN FRANCISCO, CA 94114",37.7612705,-122.44218332054794,"3042 Market Street, San Francisco, CA 94114, United States of America",,3042,,Market Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"497 GUERRERO ST, SAN FRANCISCO, CA 94110",37.76381575,-122.42386125,"497 Guerrero Street, San Francisco, CA 94110, United States of America",,497,,Guerrero Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1610 ALEMANY BLVD, SAN FRANCISCO, CA 94112",37.72655115,-122.43640300422695,"1610 Alemany Boulevard, San Francisco, CA 94112, United States of America",,1610,,Alemany Boulevard,,94112,Excelsior,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1566 19TH ST, SAN FRANCISCO, CA 94107",37.76128806122449,-122.39797679591837,"1566 19th Street, San Francisco, CA 94107, United States of America",,1566,,19th Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"216 PROSPECT AVE, SAN FRANCISCO, CA 94110",37.74212229411765,-122.41973782352942,"216 Prospect Avenue, San Francisco, CA 94110, United States of America",,216,,Prospect Avenue,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"456 GREENWICH ST, SAN FRANCISCO, CA 94133",37.8026821077335,-122.40720874780054,"456 Greenwich Street, San Francisco, CA 94133, United States of America",,456,,Greenwich Street,,94133,North Beach,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1047 LOMBARD ST, SAN FRANCISCO, CA 94109",37.80207190903151,-122.41867297736678,"1047 Lombard Street, San Francisco, CA 94109, United States of America",,1047,,Lombard Street,,94109,Russian Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"34 ALTA ST, SAN FRANCISCO, CA 94133",37.80171433333334,-122.40353033333334,"34 Alta Street, San Francisco, CA 94133, United States of America",,34,,Alta Street,,94133,Telegraph Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3847 22ND ST, SAN FRANCISCO, CA 94114",37.75440625,-122.43331121970976,"3847 22nd Street, San Francisco, CA 94114, United States of America",,3847,,22nd Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4176 CESAR CHAVEZ ST, SAN FRANCISCO, CA 94131",37.74741994482377,-122.4330126424288,"4176 Cesar Chavez Street, San Francisco, CA 94131, United States of America",,4176,,Cesar Chavez Street,,94131,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"620 29TH ST, SAN FRANCISCO, CA 94131",37.743349,-122.43381366666667,"620 29th Street, San Francisco, CA 94131, United States of America",,620,,29th Street,,94131,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"25 FRATESSA CT, SAN FRANCISCO, CA 94134",37.716019460544054,-122.39992684361597,"25 Fratessa Court, San Francisco, CA 94134, United States of America",,25,,Fratessa Court,,94134,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"791 CHENERY ST, SAN FRANCISCO, CA 94131",37.73466583333333,-122.43533866666667,"791 Chenery Street, San Francisco, CA 94131, United States of America",,791,,Chenery Street,,94131,Glen Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"58 LATONA ST, SAN FRANCISCO, CA 94124",37.731496666666665,-122.39268983333334,"58 Latona Street, San Francisco, CA 94124, United States of America",,58,,Latona Street,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"951 KEY AVE, SAN FRANCISCO, CA 94124",37.7175225867112,-122.39368033374407,"951 Key Avenue, San Francisco, CA 94124, United States of America",,951,,Key Avenue,,94124,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1415 40TH AVE, SAN FRANCISCO, CA 94122",37.76034942857143,-122.49957557142858,"1415 40th Avenue, San Francisco, CA 94122, United States of America",,1415,,40th Avenue,,94122,Sunset District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2395 26TH AVE, SAN FRANCISCO, CA 94116",37.74291925,-122.48349131804045,"2395 26th Avenue, San Francisco, CA 94116, United States of America",,2395,,26th Avenue,,94116,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2332 22ND AVE, SAN FRANCISCO, CA 94116",37.744127346938775,-122.47888610204082,"2332 22nd Avenue, San Francisco, CA 94116, United States of America",,2332,,22nd Avenue,,94116,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"109 LOWER TRL, SAN FRANCISCO, CA 94114",37.7930894,-122.4568976,"Ecology Trail (lower), San Francisco, CA 94129, United States of America",Ecology Trail (lower),,,Ecology Trail (lower),,94129,Presidio Heights,San Francisco,California,CA,United States,us,0.29924999999999996,1,0.5984999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4430 20TH ST, SAN FRANCISCO, CA 94114",37.757614918367345,-122.43728257142857,"4430 20th Street, San Francisco, CA 94114, United States of America",,4430,,20th Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"95 CORWIN ST, SAN FRANCISCO, CA 94114",37.75713302604783,-122.44003998244732,"95 Corwin Street, San Francisco, CA 94114, United States of America",,95,,Corwin Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"4120 23RD ST, SAN FRANCISCO, CA 94114",37.75294093877551,-122.43479157142858,"4120 23rd Street, San Francisco, CA 94114, United States of America",,4120,,23rd Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"743 MONTEREY BLVD, SAN FRANCISCO, CA 94127",37.73164943877551,-122.45215948979592,"743 Monterey Boulevard, San Francisco, CA 94127, United States of America",,743,,Monterey Boulevard,,94127,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"37 WALTER ST, SAN FRANCISCO, CA 94114",37.768590795918364,-122.4322968367347,"37 Walter Street, San Francisco, CA 94114, United States of America",,37,,Walter Street,,94114,Western Addition,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"159 DOLORES ST, SAN FRANCISCO, CA 94103",37.766903809523804,-122.42640128571428,"159 Dolores Street, San Francisco, CA 94103, United States of America",,159,,Dolores Street,,94103,Duboce Triangle,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"356 SANCHEZ ST, SAN FRANCISCO, CA 94114",37.76345928571428,-122.43089857142857,"356 Sanchez Street, San Francisco, CA 94114, United States of America",,356,,Sanchez Street,,94114,Duboce Triangle,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"34 LEXINGTON ST, SAN FRANCISCO, CA 94110",37.762284666666666,-122.420971,"34 Lexington Street, San Francisco, CA 94110, United States of America",,34,,Lexington Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2 FORD ST, SAN FRANCISCO, CA 94114",37.762027,-122.430813,"2 Ford Street, San Francisco, CA 94114, United States of America",,2,,Ford Street,,94114,Castro District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2260 MISSION ST, SAN FRANCISCO, CA 94110",37.76087740816327,-122.41937140816326,"2260 Mission Street, San Francisco, CA 94110, United States of America",,2260,,Mission Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1060 NOE ST, SAN FRANCISCO, CA 94114",37.751983875,-122.43202979166666,"1060 Noe Street, San Francisco, CA 94114, United States of America",,1060,,Noe Street,,94114,Noe Valley,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"228 CONNECTICUT ST, SAN FRANCISCO, CA 94107",37.76337157142857,-122.39767785714285,"228 Connecticut Street, San Francisco, CA 94107, United States of America",,228,,Connecticut Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"233 ARKANSAS ST, SAN FRANCISCO, CA 94107",37.76328365306122,-122.39843365306123,"233 Arkansas Street, San Francisco, CA 94107, United States of America",,233,,Arkansas Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"884 ALABAMA ST, SAN FRANCISCO, CA 94110",37.75779528571429,-122.41155785714287,"884 Alabama Street, San Francisco, CA 94110, United States of America",,884,,Alabama Street,,94110,Mission District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"706 VERMONT ST, SAN FRANCISCO, CA 94107",37.760642000000004,-122.40421987755101,"706 Vermont Street, San Francisco, CA 94107, United States of America",,706,,Vermont Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"815 RHODE ISLAND ST, SAN FRANCISCO, CA 94107",37.759411428571426,-122.40195071428572,"815 Rhode Island Street, San Francisco, CA 94107, United States of America",,815,,Rhode Island Street,,94107,Potrero Hill,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1384 FLORIDA ST, SAN FRANCISCO, CA 94110",37.74985457142857,-122.40989542857142,"1384 Florida Street, San Francisco, CA 94110, United States of America",,1384,,Florida Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1338 HAMPSHIRE ST, SAN FRANCISCO, CA 94110",37.75063634546891,-122.40718515222964,"1338 Hampshire Street, San Francisco, CA 94110, United States of America",,1338,,Hampshire Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1379 HAMPSHIRE ST, SAN FRANCISCO, CA 94110",37.75039226927566,-122.40693873403816,"1379 Hampshire Street, San Francisco, CA 94110, United States of America",,1379,,Hampshire Street,,94110,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1687 KIRKWOOD AVE, SAN FRANCISCO, CA 94124",37.73897659183673,-122.39156675510205,"1687 Kirkwood Avenue, San Francisco, CA 94124, United States of America",,1687,,Kirkwood Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1779 MCKINNON AVE, SAN FRANCISCO, CA 94124",37.73763687755102,-122.39256657142857,"1779 McKinnon Avenue, San Francisco, CA 94124, United States of America",,1779,,McKinnon Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1740 QUESADA AVE, SAN FRANCISCO, CA 94124",37.73367737755102,-122.39221982653062,"1740 Quesada Avenue, San Francisco, CA 94124, United States of America",,1740,,Quesada Avenue,,94124,Bayview District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"87 COLERIDGE ST, SAN FRANCISCO, CA 94110",37.74435,-122.41918775,"87 Coleridge Street, San Francisco, CA 94110, United States of America",,87,,Coleridge Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"3221 MISSION ST, SAN FRANCISCO, CA 94110",37.74510616,-122.42008596000001,"3221 Mission Street, San Francisco, CA 94110, United States of America",,3221,,Mission Street,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"287 RICHLAND AVE, SAN FRANCISCO, CA 94110",37.73588353061224,-122.42063991836734,"287 Richland Avenue, San Francisco, CA 94110, United States of America",,287,,Richland Avenue,,94110,Bernal Heights,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1451 SILVER AVE, SAN FRANCISCO, CA 94134",37.731823545454546,-122.40790645454545,"1451 Silver Avenue, San Francisco, CA 94134, United States of America",,1451,,Silver Avenue,,94134,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"487 SILVER AVE, SAN FRANCISCO, CA 94112",37.72870966666667,-122.426226,"487 Silver Avenue, San Francisco, CA 94112, United States of America",,487,,Silver Avenue,,94112,St. Mary's Park,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"433 BRAZIL AVE, SAN FRANCISCO, CA 94112",37.723090408163266,-122.43127195918368,"433 Brazil Avenue, San Francisco, CA 94112, United States of America",,433,,Brazil Avenue,,94112,Excelsior,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2882 GEARY BLVD, SAN FRANCISCO, CA 94118",37.782338,-122.4497209,"2882 Geary Boulevard, San Francisco, CA 94118, United States of America",,2882,,Geary Boulevard,,94118,Anza Vista,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"247 11TH AVE, SAN FRANCISCO, CA 94118",37.78368224489796,-122.4699466734694,"247 11th Avenue, San Francisco, CA 94118, United States of America",,247,,11th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"358 FUNSTON AVE, SAN FRANCISCO, CA 94118",37.7815381632653,-122.47173334693878,"358 Funston Avenue, San Francisco, CA 94118, United States of America",,358,,Funston Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"400 25TH AVE, SAN FRANCISCO, CA 94121",37.7818549,-122.48469474275977,"400 25th Avenue, San Francisco, CA 94121, United States of America",,400,,25th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"6438 GEARY BLVD, SAN FRANCISCO, CA 94121",37.78027975,-122.48854387913548,"6438 Geary Boulevard, San Francisco, CA 94121, United States of America",,6438,,Geary Boulevard,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"505 42ND AVE, SAN FRANCISCO, CA 94121",37.77899295,-122.5030966571907,"505 42nd Avenue, San Francisco, CA 94121, United States of America",,505,,42nd Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"8137 GEARY BLVD, SAN FRANCISCO, CA 94121",37.77883895,-122.50681281679407,"8137 Geary Boulevard, San Francisco, CA 94121, United States of America",,8137,,Geary Boulevard,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"590 42ND AVE, SAN FRANCISCO, CA 94121",37.777574099999995,-122.50263202138643,"590 42nd Avenue, San Francisco, CA 94121, United States of America",,590,,42nd Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"519 32ND AVE, SAN FRANCISCO, CA 94121",37.7792685,-122.49245061955817,"519 32nd Avenue, San Francisco, CA 94121, United States of America",,519,,32nd Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"579 24TH AVE, SAN FRANCISCO, CA 94121",37.77862065,-122.4838390541621,"579 24th Avenue, San Francisco, CA 94121, United States of America",,579,,24th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"439 21ST AVE, SAN FRANCISCO, CA 94121",37.7794578,-122.48066335,"439 21st Avenue, San Francisco, CA 94121, United States of America",,439,,21st Avenue,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2818 ANZA ST, SAN FRANCISCO, CA 94121",37.7786606,-122.47865301286517,"2818 Anza Street, San Francisco, CA 94121, United States of America",,2818,,Anza Street,,94121,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"606 BALBOA ST, SAN FRANCISCO, CA 94118",37.77730055,-122.46530696348051,"606 Balboa Street, San Francisco, CA 94118, United States of America",,606,,Balboa Street,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"543 16TH AVE, SAN FRANCISCO, CA 94118",37.77778228571429,-122.47500085714286,"543 16th Avenue, San Francisco, CA 94118, United States of America",,543,,16th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"706 45TH AVE, SAN FRANCISCO, CA 94121",37.7751703,-122.5057474,"706 45th Avenue, San Francisco, CA 94121, United States of America",,706,,45th Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2324 CABRILLO ST, SAN FRANCISCO, CA 94121",37.774552428571425,-122.48360236734695,"2324 Cabrillo Street, San Francisco, CA 94121, United States of America",,2324,,Cabrillo Street,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"642 CABRILLO ST, SAN FRANCISCO, CA 94118",37.77538057142857,-122.46543171428571,"642 Cabrillo Street, San Francisco, CA 94118, United States of America",,642,,Cabrillo Street,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"778 7TH AVE, SAN FRANCISCO, CA 94118",37.77394046938775,-122.46474006122449,"778 7th Avenue, San Francisco, CA 94118, United States of America",,778,,7th Avenue,,94118,Richmond District,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"2530 FULTON ST, SAN FRANCISCO, CA 94118",37.774501349999994,-122.45904175950227,"2530 Fulton Street, San Francisco, CA 94118, United States of America",,2530,,Fulton Street,,94118,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"851 43RD AVE, SAN FRANCISCO, CA 94121",37.77259997959184,-122.50364379591836,"851 43rd Avenue, San Francisco, CA 94121, United States of America",,851,,43rd Avenue,,94121,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1250 34TH AVE, SAN FRANCISCO, CA 94122",37.763761244897964,-122.49315983673469,"1250 34th Avenue, San Francisco, CA 94122, United States of America",,1250,,34th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1278 25TH AVE, SAN FRANCISCO, CA 94122",37.76372265,-122.48330019823008,"1278 25th Avenue, San Francisco, CA 94122, United States of America",,1278,,25th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1279 21ST AVE, SAN FRANCISCO, CA 94122",37.76391559183673,-122.47940226530612,"1279 21st Avenue, San Francisco, CA 94122, United States of America",,1279,,21st Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1246 FUNSTON AVE, SAN FRANCISCO, CA 94122",37.7648376,-122.47039868504082,"1246 Funston Avenue, San Francisco, CA 94122, United States of America",,1246,,Funston Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"927 LINCOLN WAY, SAN FRANCISCO, CA 94122",37.7656985,-122.4681266,"927 Lincoln Way, San Francisco, CA 94122, United States of America",,927,,Lincoln Way,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1235 8TH AVE, SAN FRANCISCO, CA 94122",37.765205,-122.4654877,"1235 8th Avenue, San Francisco, CA 94122, United States of America",,1235,,8th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"330 HUGO ST, SAN FRANCISCO, CA 94122",37.7652866,-122.4616137,"330 Hugo Street, San Francisco, CA 94122, United States of America",,330,,Hugo Street,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1201 6TH AVE, SAN FRANCISCO, CA 94122",37.7658962,-122.4633827,"1201 6th Avenue, San Francisco, CA 94122, United States of America",,1201,,6th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1319 12TH AVE, SAN FRANCISCO, CA 94122",37.7634889,-122.4697184,"1319 12th Avenue, San Francisco, CA 94122, United States of America",,1319,,12th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1332 18TH AVE, SAN FRANCISCO, CA 94122",37.7629753877551,-122.47590608163266,"1332 18th Avenue, San Francisco, CA 94122, United States of America",,1332,,18th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1381 20TH AVE, SAN FRANCISCO, CA 94122",37.76206395,-122.4783965334704,"1381 20th Avenue, San Francisco, CA 94122, United States of America",,1381,,20th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1311 48TH AVE, SAN FRANCISCO, CA 94122",37.761897408163264,-122.50828236734695,"1311 48th Avenue, San Francisco, CA 94122, United States of America",,1311,,48th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1301 LA PLAYA, SAN FRANCISCO, CA 94122",37.762143,-122.509269,"1301 La Playa Street, San Francisco, CA, United States of America",,1301,Outer Sunset,La Playa Street,San Francisco County,,,San Francisco,California,CA,United States,us,0.9,1,0.9,,,
"1450 47TH AVE, SAN FRANCISCO, CA 94122",37.759433,-122.5068288367347,"1450 47th Avenue, San Francisco, CA 94122, United States of America",,1450,,47th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1471 19TH AVE, SAN FRANCISCO, CA 94122",37.76038265,-122.47715718966364,"1471 19th Avenue, San Francisco, CA 94122, United States of America",,1471,,19th Avenue,,94122,,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1406 16TH AVE, SAN FRANCISCO, CA 94122",37.761622450000004,-122.47358692972651,"1406 16th Avenue, San Francisco, CA 94122, United States of America",,1406,,16th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1449 8TH AVE, SAN FRANCISCO, CA 94122",37.7612681,-122.4652679,"1449 8th Avenue, San Francisco, CA 94122, United States of America",,1449,,8th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1502 10TH AVE, SAN FRANCISCO, CA 94122",37.7601507,-122.4669858,"1502 10th Avenue, San Francisco, CA 94122, United States of America",,1502,,10th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"204 LAWTON ST, SAN FRANCISCO, CA 94122",37.75863415,-122.46531582619761,"204 Lawton Street, San Francisco, CA 94122, United States of America",,204,,Lawton Street,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"1762 9TH AVE, SAN FRANCISCO, CA 94122",37.7554387,-122.4655775,"1762 9th Avenue, San Francisco, CA 94122, United States of America",,1762,,9th Avenue,,94122,Inner Sunset,San Francisco,California,CA,United States,us,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
